Weapon_Laser_ThermalLaser_0-Westonmach,Weapon,5,8
Weapon_Laser_ThermalLaser_1-Westonmach,Weapon,3,7
Weapon_Laser_ThermalLaser_2-Westonmach,Weapon,2,6
Weapon_Laser_UltraLaser_0-Westonmach,Weapon,2,8
Weapon_DualLaser_MediumLaser_0-Westonmach,Weapon,6,10
Weapon_DualLaser_LargeLaser_0-Westonmach,Weapon,6,10
Weapon_DualLaser_UltraLaser_0-Westonmach,Weapon,6,10
Weapon_DualLaser_SmallLaser_0-Westonmach,Weapon,9,10
Weapon_DualLaser_SmallLaser_1-Westonmach,Weapon,5,9
Weapon_DualLaser_SmallLaser_2-Westonmach,Weapon,4,8
Weapon_DualLaser_SmallLaser_3-Westonmach,Weapon,3,7
Weapon_DualLaser_SmallLaser_4-Westonmach,Weapon,2,6
Weapon_DualLaser_SmallLaser_5-Westonmach,Weapon,2,5
Weapon_DualLaser_MediumLaser_1-Westonmach,Weapon,5,9
Weapon_DualLaser_MediumLaser_2-Westonmach,Weapon,4,8
Weapon_DualLaser_MediumLaser_3-Westonmach,Weapon,3,7
Weapon_DualLaser_MediumLaser_4-Westonmach,Weapon,2,6
Weapon_DualLaser_MediumLaser_5-Westonmach,Weapon,2,5
Weapon_DualLaser_LargeLaser_1-Westonmach,Weapon,5,9
Weapon_DualLaser_LargeLaser_2-Westonmach,Weapon,4,8
Weapon_DualLaser_LargeLaser_3-Westonmach,Weapon,3,7
Weapon_DualLaser_LargeLaser_4-Westonmach,Weapon,2,6
Weapon_DualLaser_LargeLaser_5-Westonmach,Weapon,2,5
Weapon_DualLaser_UltraLaser_1-Westonmach,Weapon,5,9
Weapon_DualLaser_UltraLaser_2-Westonmach,Weapon,4,8
Weapon_DualLaser_UltraLaser_3-Westonmach,Weapon,3,7
Weapon_DualLaser_UltraLaser_4-Westonmach,Weapon,2,6
Weapon_DualLaser_UltraLaser_5-Westonmach,Weapon,2,5
Weapon_Plasma_PAC_0-Westonmach,Weapon,25,10
Weapon_FistPunch_Cannon_0-Westonmach,Weapon,5,9
Weapon_LRM_DFMM2_0-Westonmach,Weapon,32,10
Weapon_LRM_DFMM5_0-Westonmach,Weapon,15,9
Weapon_LRM_DFIM2_0-Westonmach,Weapon,32,10
Weapon_LRM_DFIM5_0-Westonmach,Weapon,15,9
Weapon_ViperRocket_1_0-Westonmach,Weapon,25,10
Weapon_ViperRocket_1_1-Westonmach,Weapon,8,9
Weapon_ViperRocket_1_2-Westonmach,Weapon,5,8
Weapon_ViperRocket_1_3-Westonmach,Weapon,4,7
Weapon_ViperRocket_1_4-Westonmach,Weapon,3,6
Weapon_ViperRocket_1_5-Westonmach,Weapon,2,5
Weapon_Korvaxx_EC_0-Westonmach,Weapon,25,10
Weapon_Korvaxx_EC_1-Westonmach,Weapon,8,8
Weapon_Korvaxx_EC_2-Westonmach,Weapon,5,6
Weapon_Korvaxx_EC_3-Westonmach,Weapon,4,5
Weapon_Korvaxx_EC_4-Westonmach,Weapon,3,4
Weapon_Korvaxx_EC_5-Westonmach,Weapon,2,3
Gear_Cockpit_Sensor_Array,Upgrade,5,9
Gear_Cockpit_Sensor_Module,Upgrade,3,8
Gear_General_Response_Facilitator,Upgrade,2,8
