Weapon_MachineGun_Defender_0-Westonmach,Weapon,16,10
Weapon_Reaper_AC_Light,Weapon,5,10
Weapon_Reaper_AC_Heavy,Weapon,5,10
Weapon_Reaper_AC_Sniper,Weapon,5,10
Weapon_Reaper_AC_Light_1,Weapon,2,8
Weapon_Reaper_AC_Heavy_1,Weapon,2,8
Weapon_Reaper_AC_Sniper_1,Weapon,2,8
Weapon_Shotgun_Rager_Small_Buckshot_Cannon_0-Westonmach,Weapon,5,9
Weapon_Shotgun_Rager_Medium_Buckshot_Cannon_0-Westonmach,Weapon,3,9
Weapon_Shotgun_Rager_Large_Buckshot_Cannon_0-Westonmach,Weapon,2,9
Weapon_MachineGun_Defender_1-Westonmach,Weapon,6,7
Weapon_MachineGun_Defender_2-Westonmach,Weapon,5,6
Weapon_MachineGun_Defender_3-Westonmach,Weapon,4,5
Weapon_Reaper_UAC_Light,Weapon,3,8
Weapon_Reaper_UAC_Heavy,Weapon,3,8
Weapon_Reaper_UAC_Sniper,Weapon,3,8
Weapon_Reaper_UAC_Light_1,Weapon,2,7
Weapon_Reaper_UAC_Heavy_1,Weapon,2,7
Weapon_Reaper_UAC_Sniper_1,Weapon,2,7
Weapon_Reaper_UAC_Light_2,Weapon,2,6
Weapon_Reaper_UAC_Heavy_2,Weapon,2,6
Weapon_Reaper_UAC_Sniper_2,Weapon,2,6
Weapon_Reaper_UAC_Light_3,Weapon,2,4
Weapon_Reaper_UAC_Heavy_3,Weapon,2,4
Weapon_Reaper_UAC_Sniper_3,Weapon,2,4
Weapon_Reaper_UAC_Heavy_4,Weapon,2,4
Weapon_Reaper_UAC_Heavy_5,Weapon,2,3
